三韵杂咏七首（宋·李若川）　　押东韵	础润湿①欲雨，月晕知有风。大哉天地理，机熟潜可通。念彼在世人，心隐无由穷。
途中阻雨（宋·李若川）　　押庚韵	高云无急雨，飞洒如丝轻。幽人动羁思，冒雨登归程。风来晓烟乱，云破春山明。眷言憩荒馆，我怀有馀情。壶中载浊酒，饮罢还自倾。酒尽兴不尽，关关山鸟鸣。
夜泊富阳（宋·李若川）　　押庚韵	弭节①富春岸，江潮侵夜生。扁舟人未寐，风动菰蒲声。群物渐以息，客怀有馀清。开篷坐深夜，月在云间明。远眺江水阔，仰视天河横。念此复何极，旷然千古情。恨阻心中侣，浊醪相与倾。
理舟（宋·李若川）　　押先韵	为客始逾月，迢迢若经年。昼永空馆寂，古木参云烟。我生闻道浅，未能超世缘。念此方寸地，忧来相萦缠。今晨动幽兴，沙岸泊归船。岸远望不极，归思随长川。
独酌（宋·李若川）　　押侵韵	兀坐起往念，新愁忽来侵。郁郁不自怡，开尊独盈斟。举杯对孤影，浩荡生幽襟。百虑遂消散，无复萦我心。修篁尔何情，风中来清音。不觉日已晏，四面山沈沈。超遥醉中适，颓然忘古今。染翰记所寓，音属自成吟。
村社歌（宋·李若川）	清晓鼕鼕鸣社鼓，前村后村走儿女。田家醵钱共赛神，谢神时晴复时雨。案有①肴酒炉有香，老巫祷祝躬案傍。愿得年年被神福，秋宜稻谷春宜桑。人淳礼简酒无数，歌笑喧阗日将暮。田翁攲侧醉归来，山头明月山前路。
蚕妇词（宋·李若川）	舍前舍后桑成林，锄垦不放青草侵。东风满条新叶大，村家爱此轻黄金。日暖春蚕大眠起，戢戢盈箱齐若指。看蚕新妇夜不眠，蚕老登山满家喜。阿姑嗔办缲车①迟，小姑已催修织机。杀鸡沽酒赛神福，今岁不怕寒无衣②。
