石宝盖（宋·怡然）　　五言绝句　押祃韵	圆顶环珠幡，久与石俱化。我执黄庭经，跏趺坐其下①。
翠蛟亭（宋·怡然）　　五言绝句　押纸韵	萦纡九锁山，棱层几叠水。谁令翻其源，银涛迸石髓。
隔凡柱（宋·怡然）	一柱悬通衢，可望不可进。老仙指谓予，傍边有捷径①。
