书屏句（宋·释义怀）　　七言绝句　押歌韵	三分光阴二早过，灵台一点不揩磨。区区逐日贪生去，唤不回头怎奈何。
句（宋·释义怀）　　押先韵	衣穿瘦骨露，屋破看星眠①。
投机偈（宋·释义怀）	一二三四五六七，万仞峰头独足立。骊龙颔下夺明珠，一言勘破维摩诘。
偈（宋·释义怀）	须弥顶上，不扣金钟。毕钵岩中，无人聚会。山僧倒骑佛殿，诸人反著草鞋。朝游檀特，暮到罗浮。拄杖针筒，自家收取。
偈（宋·释义怀）　　押齐韵	蜀魄连宵叫，鵽鳭终夜啼。圆通门大启，何事隔云泥。
偈（宋·释义怀）　　押觉韵	红日照扶桑，寒雪封华岳。三更过铁围，拶折骊龙角①。
