永明寺四香亭（宋·盛次仲）　　七言绝句　押阳韵	扰扰红尘为底忙，僧家白日自舒长。朱帘著地寂无事，百刻青春一炷香。
题东寺松石小轩呈同游关彦长明府（宋·盛次仲）　　七言绝句　押御韵	一松偃蹇苍龙蟠，一石巉岩怒虎踞。我来题作龙虎轩，便恐风云卷将去①。
句（宋·盛次仲）　　押真韵	看来天地不知夜，飞入园林总是春①。
