赠陈梦和（宋·周氏）　　七言绝句　押齐韵	梦和残月到①楼西，月过楼西梦已迷。唤起一声肠断处，落花枝上鹧鸪啼。
春晴（宋·周氏）　　七言绝句　押麻韵	瞥然飞过谁家燕，蓦地香来甚处花。深院日长无个事，一瓶春水自煎茶①。
瑞鹤仙 和丁基仲（宋·周氏）	画楼帘卷翠。正柳约东风，摇荡春霁。缃桃雨才洗。似妆临宝镜。脂凝铅水。云偏髻子。坠钗梁、羞看燕垒。最堪怜，锦绣香中，早有片红飘砌。闲记。琴弹古调，曲按清商，旧年时事。屏山画里。江南信，梦中寄。感春浓怀抱，午酲初解，浅酌依然又醉。傍阑干、犹怯馀寒，倦和袖倚。
