呈圆悟（宋·释祖觉）　　五言绝句　押元韵	家住孤峰顶，长年半掩门。自嗟身已老，活计付儿孙。
寄圆悟（宋·释祖觉）　　七言绝句　押豪韵	出林依旧入蓬蒿，天网恢恢不可逃。谁信业缘无避处，归来不怕语声高。
偈（宋·释祖觉）	一尘起，大地收。一叶落，天下秋。悬须弥于诸人鼻孔上，著大海于诸人眼睛中①。
