过种明逸故居题绝句（宋·尹焞）　　七言绝句　押真韵	少年亡意学经纶，老矣空馀此一身。面似髑髅头似雪，却来岩谷继前尘。
自秦入蜀道中绝句三首（宋·尹焞）　　七言绝句　押麻韵	绿阴深处竹篱遮，也有红花映白花。却忆故乡卿相第，不及张三李四家。
避贼至商山绝句（宋·尹焞）　　七言绝句　押灰韵	西来几被雪霜埋，鸿雁嗷嗷莫强猜。今朝始踏商山路，高视浮云任去来①。
亡姑墓铭诗（宋·尹焞）　　押阳韵	嗟夫人之生兮，一气凝乎混茫。变而之死兮，去不知其何乡。唯懿德之在人兮，愈久而不忘。归安此室兮，其千万年无坏伤。
