交翠亭（在府治东）（宋·方来）　　七言绝句　押东韵	濂溪窗外草茸茸，生意春融我意同。为甚此园多翠草，也因曾识紫阳翁①。
重新九区亭（宋·方来）　　七言绝句　押虞韵	射堂后圃傍东隅，旧日文公画九区。石上草庐刊易象，至今瞻仰后天图①。
碧玉千峰（宋·方来）	堂堂紫阳翁，棠阴遍南国。斯文天未丧，眉寿乃公锡。四书回狂澜，剩得居闲力。定作主林神，香骨化为碧。
