天游观（宋·林锡翁）　　七言绝句　押尤韵	览遍溪山最上头，琳宫贝阙更清幽。虽然未得长生诀，也道曾从天上游①。
天柱峰（宋·林锡翁）　　七言绝句　押先韵	共工发怒亦徒然，炼石忙忙女补天。既用断鳌并立极，此峰何不立当先①。
接笋岩（宋·林锡翁）　　七言绝句	儿童日报竹平安，新笋如何折一痕。接住喜凭仙掌力，春风胡不长琅玕①。
猫儿峰（宋·林锡翁）　　七言绝句　押阳韵	猫儿峰小眼精光，来护仙家石廪粮。回顾威风何凛凛，山中安得有拖肠①。
金鸡岩（宋·林锡翁）　　七言绝句　押庚韵	几载修真洞里人，只凭啁哳报天明。丹成不逐刘安去，只在岩头唱五更①。
