送僧（宋·释道昌）　　七言绝句　押先韵	扫尽诸方路布禅，到头窼臼落雁边。台盘角畔重拈起，万里神光顶后全。
偈三首（宋·释道昌）	道不属知，不属不知。知是妄觉，不知是无记。若真达不疑之道，碍他①铜盘不打老鼠。所以抽身入，还②从屋里来。报教台凳稳，聊且劝三杯。兄呼弟唤③殷勤处，留得儿孙辨劫灰④。
颂古四首（宋·释道昌）　　押先韵	惯使渡头船，如今不记年。爱他风浪恶，方是趁粗钱。
颂古五十七首（宋·释道昌）　　押纸韵	奴儿婢子，十生九死。于里不正，被外边使。纵饶开口便过头，未免浑身辊泥水①。
自赞（宋·释道昌）　　押个韵	丹青写出，剩却一个。窦入布衫，著著便破。土面灰头那畔行，水墨观音解推磨①。
