乡校颂（宋·陆淞）　　押支韵	维乡有校，示民有知。教始豫逊，迪于训彝，维风化是裨。
念奴娇 和李汉老（宋·陆淞）	黄橙紫蟹，映金壶潋滟，新醅浮绿。共赏西楼今夜月，极目云无一粟。挥麈高谈，倚栏长啸，下视鳞鳞屋。轰然何处，瑞龙声喷蕲竹。何况露白风清，银河澈汉，仿佛如悬瀑。此景古今如有价，岂惜明珠千斛。灏气盈襟，冷风入袖，只欲骑鸿鹄。广寒宫殿，看人颜似冰玉。
瑞鹤仙（宋·陆淞）	脸霞红印枕。睡觉来、冠儿还是不整。屏间麝煤冷。但眉峰压翠，泪珠弹粉。堂深昼永。燕交飞、风帘露井。恨无人，与说相思，近日带围宽尽。重省。残灯朱幌，淡月纱窗，那时风景。阳台路迥。云雨梦，便无准。待归来，先指花梢教看，却把心期细问。问因循、过了青春，怎生意稳。
