九吟诗（实存八首） 九锁（宋·吴昌裔）　　七言绝句　押麻韵	上界神仙住九华，故留灵锁护烟霞。云根欲断溪回处，流出常山几片花。
九吟诗（实存八首） 栖真（宋·吴昌裔）　　七言绝句　押侵韵	凿破千年浑沌心，石楠当户洞愔愔。诗臞犹怯春寒在，扪石梯云不敢深。
九吟诗（实存八首） 天柱（宋·吴昌裔）　　七言绝句　押元韵	柱天屹嶪断鳌根，卧草蒙茸伏虎痕。想见山中明月夜，有人长啸抱昆崙。
九吟诗（实存八首） 石室（宋·吴昌裔）　　七言绝句　押东韵	竹几蒲团石室中，细书抱朴校参同。寄声碧眼朱高士，何必携琴下阆风。
九吟诗（实存八首） 清音（宋·吴昌裔）　　七言绝句　押先韵	山出涓寒一道泉，暗声落涧玉铮然。辘轳引上泥丸顶，便是人间赤脚仙。
九吟诗（实存八首） 来贤（宋·吴昌裔）　　七言绝句　押萧韵	杖挂松花酒一瓢，手挼柏子杂香烧。山空露冷吟招隐，掉首诸贤不受招。
九吟诗（实存八首） 翠蛟（宋·吴昌裔）　　七言绝句　押尤韵	苍松翠石束寒流，飞下长身①白玉虬。吐出英云千尺雨，须臾雷霁水痕收②。
九吟诗（实存八首） 飞玉（宋·吴昌裔）　　七言绝句　押灰韵	谁擘岩扉石窦开，中流玉水漱苍苔。有时卷雪从天下，端是源头蓄得来①。
