别诸禅众（宋·向宗道）　　七言绝句　押删韵	四绝之名岂浪传，千岩万石五云间。无才可述无穷景，祇爱真山似假山。
宝华山（宋·向宗道）　　七言绝句　押齐韵	松风山月送人归，几处溪声拂马蹄。殿角参差浦云隐，回头真似武陵迷①。
斑石枕联句（宋·向宗道）	斸得西山骨，磨砻露斑駮。凝结一何怪（宗道），形模万难学。直疑彩云根（庶），又讶紫珉礏。中瘦■（胁皮）蛟腹（宗道），外文灼龟壳。冷剖清泉肝（庶），𥡥榰老鳌脚。坚方君子性（宗道），清纯圣人璞。有气当补天（庶），无瑕应并瑴。定渍盘古苔（宗道），想漏神农药。堪作梦寐宝（庶），尤是炎蒸托。眠月病头愈（宗道），横风酲肺濯。珊瑚侈可唾（庶），陶甄脆堪扑。夜深魇鬼惊（宗道），昼冷诗魔愕。首惬无俗梦（庶），心清去烦恶。蕲簟方敢友（宗道），蜀筇良可攫。何必檄愈风（庶），何必文驱疟。质任儿女嗤（宗道），顽宜童仆谑。枕流固迂诞（庶），藉糟徒落魄。润生审将雨（宗道），辉发疑有珏。髑髅庄生狂（庶），虎魄宋武薄。欲镵中郎铭，文章体犹弱。欲秘淮南书，神仙志非乐（宗道）。我疑混沌矿，谁与砻窍凿。可作甘寝舆，华胥诣冥寞（庶）。子道足施为，我拙困婴缚。已谋具巾屦，行当老嵩霍。子其乞我归，终焉卧云壑（宗道）。嗜好我已痴，须求子惟悫。毡旧王固惜，瓢陋颜不博。异时一经子，便当千金橐。客退独摩拂，卧送山月落（庶）。
