颂古八首（宋·释师一）　　押寒韵	赵老家风不热瞒，问他大道答长安。有谁平步归家去，多是区区自作难。
偈颂七首（宋·释师一）	魔作佛，坏烂虚空元有骨。佛作魔，须弥顶上涌清波。魔佛二边俱坐却，瘥病不假驴驼药。
颂古（宋·释师一）　　押支韵	超谈胡饼应时机，遂块知非师子儿。败叶霜风都扫尽，古松方见岁寒枝①。
颂古十八首（宋·释师一）　　押阳韵	食讫跏趺坐石床，斗间间气烛天光。几多业识茫茫者，衲被蒙头在醉乡①。
颂古一首（宋·释师一）	九夏安居不论心，胡芦水上捺教沉。忽涌向人西边出，惊起沙鸥乱白蘋①。
