白云庵（宋·逍遥子）　　七言绝句　押虞韵	山居常与白云俱，小筑东轩著药炉。消遣客魔须底物，竹间叶叶有灵符。
茶庵（宋·逍遥子）　　七言绝句　押歌韵	道人宴坐碧山阿，啄木敲门拟客过。吾境本无妖魅事，日长翻有睡为魔。
罗浮茶（宋·逍遥子）　　七言绝句　押先韵	活水仍将活火煎，茶经妙处莫虚传。陆颠所在闲题品，未试罗浮第一泉①。
