海棠（宋·湛道山）　　七言绝句　押阳韵	深院无人春日长，游蜂来往燕飞忙。海棠娇甚成羞涩，凭仗东风催晓妆①。
荼蘼（宋·湛道山）　　七言绝句　押麻韵	雨后溪流半没沙，粉墙卖酒是谁家。客中不觉春深浅，开了荼蘼一架花。
荷花（宋·湛道山）　　押皓韵	涌金门外凉生早①，无数荷花斗娇好。自怜贫病不出门，无奈心情被花恼。夜来一雨愁思浓，晚②看玉露垂庭草。便须扶杖买兰舟，莫待红妆被霜老③。
句（宋·湛道山）　　押尤韵	一奁碧玉烟开晓，十里红云风作秋（荷花）。
