简高澹轩（宋·姜竹野）　　七言绝句　押删韵	西风篱下菊班班，想得吟肩正耸山。急遣曲生陪杖履，要传好句出人间①。
西湖竹阁寺（宋·姜竹野）　　七言绝句　押侵韵	来此琅玕影里吟，更于何处觅山林。千年清事无人管，独有香山领此心①。
船子和尚西亭（宋·姜竹野）　　七言绝句　押先韵	船翻亭迹尚依然，动有风波静有天。人世不知行实地，每于船上又安船①。
