咸阳（宋·刘棐）　　七言绝句　押支韵	父老壶浆迓义旗，亡秦谁复为秦悲。不曾被虐曾蒙德，十二金人各泪垂。
至石桥夜半风雨大作（宋·刘棐）　　七言绝句　押寒韵	方广即真华藏界，自他不隔一毫端。庞眉大士常相见，猛雨豪风漫作难。
题惠众院（宋·刘棐）　　七言绝句　押东韵	云迷鸟道岭重重，松竹深藏释子宫。戎马不曾来尔界，太平元在乱山中①。
