以偈问清远禅师（宋·僧某）　　五言绝句　押先韵	劫火威音前，别是一壶天。御楼前射猎，不是刈荒田①。
解夏小参问无准禅师（宋·僧某）　　五言绝句　押真韵	选佛场开日，丛林气象新。心空及第者，毕竟是何人①。
问怀秀禅师（宋·僧某）　　七言绝句　押尤韵	昔日沩山水牯牛，自从放去绝踪由。今朝幸遇师登座，未审时人何处求①。
以偈问文准禅师（宋·僧某）　　七言绝句　押真韵	寒食因悲郭外春，墅田无处不伤神。林间垒垒添新冢，半是去年来哭人①。
偈（宋·僧某）	荏苒光阴岁月寒，禅家赢得共盘桓。个中消息无人会，愿闻提唱祖师关。
偈（宋·僧某）	因山见水，见水忘山。山水俱忘，理归何所①。
偈（宋·僧某）	一水吞空远，三峰峭壁危。猊台重拂拭，共喜主人归①。
