题龙华山（宋·郭震）　　七言绝句　押灰韵	昔年曾到此山来，百鸟声中酒一杯。最好寺边开眼处，段文昌有读书台①。
纸窗（宋·郭震）　　七言绝句　押蒸韵	偏宜酥壁称闲情，白似溪云薄似冰。不是野人嫌月色，免教风弄读书灯。
渔者（宋·郭震）　　七言绝句　押支韵	江柳弄风颦翠黛，山光著雨湿胭脂。却收短棹拈长笛，一叶舟中仰面吹。
老卒（宋·郭震）　　七言绝句　押真韵	老来弓剑喜离身，说著沙场更怆神。任使将军全得胜，归时须少去时人。
海棠（宋·郭震）　　七言绝句　押庚韵	又随桃李一时荣，不逐东风处处生。疑是四方嫌不种，教于蜀地独垂名①。
宿渔家（宋·郭震）　　七言绝句　押麻韵	几代生涯傍海涯，两三间屋盖芦花。灯前笑说归来夜，明月随船送到家①。
诗二首（宋·郭震）　　七言绝句　押支韵	流落天涯与海涯，旧山终日恨归迟。思量却得蹉跎力，会尽人间一肚皮①。
句（宋·郭震）　　押麻韵	人世几番更面目，仙山依旧锁烟霞（苏仙山）。
