茅保命吟（魏晋·许翙）	朝华焕晨井，九盖倾青云。前此圭璋庸，不识万流椿。解落倏欻顷，寅客何必人①。
郭四朝叩船歌四首（魏晋·许翙）	清池带灵岫，长林郁青葱。玄鸟翔幽野，悟言出从容。鼓楫乘神波，稽首希晨风。未获解脱期，逍遥丘山中①。
杜广平歌吟（魏晋·许翙）　　押蒸韵	淳景翳广林，暧日东霞升。晨风舞六烟，勃郁八道腾。五岳何必秀，名山亦足陵。矫首摄洞阜，栖心潜中兴。吐纳胎精气，玄白谁能胜①。
梦诗（魏晋·许翙）	乘气涉渌津，采药中山颠。披心焕灵想，萧荡无悟言。愿与盛德游，骖驷骋因缘。荣尘何足寻，疾急君清玄。苟能摄妙观，吐纳可长年①。
