游仙诗（魏晋·王彪之）	远游绝尘雾，轻举观沧溟。蓬七阴倒景，昆崙罩曾城①。
与诸兄弟方山别诗（魏晋·王彪之）	脂车总驰轮，泛舟理飞棹。丝染墨悲叹，路歧杨感悼①。
登会稽刻石山诗（魏晋·王彪之）	隆山嵯峨，崇峦岧峣。傍觌沧洲，仰拂玄霄。文命远会，风淳道辽。秦皇遐巡，迈北英豪。宅灵基阿，铭迹峻峤。青阳曜景，时和气淳。修岭增鲜，长松挺新。飞鸿振羽，腾龙跃鳞①。
登治城楼诗（魏晋·王彪之）	俯观陋室。宇宙六合。譬如四壁①。
