诗（魏晋·牵秀）　　押真韵	高宗梦岩穴，姬文兆渭滨。群分邈十里，感应用形神①。
宴曜武堂诗（魏晋·牵秀）　　押阳韵	沐浴洪流，饮服清芳。将结微根，永晞朝阳。恭承渥惠，庶无怠荒①。
祖孙楚诗（魏晋·牵秀）　　押阳韵	受兹明命，作守西疆①。
四言诗（魏晋·牵秀）	乾道辅仁，坤德尚冲①。
