三月三日从华林园诗（魏晋·荀勖）　　押职韵	清节中季春，姑洗通滞塞。玉辂扶渌池，临川荡苛慝①。
从武帝华林园宴诗（魏晋·荀勖）	习习春阳，帝出乎震。天施地生，以应仲春。思文圣皇，顺时秉仁。钦若灵则，饮御嘉宾。洪恩普畅，庆乃众臣。其庆惟何，锡以帝祉。肆觐群后，有客戾止。外纳要荒，内延卿士。箫管咏德，八音咸理。凯乐饮酒，莫不宴喜①。
晋正德大豫舞歌二首 正德舞歌（魏晋·荀勖）	人文垂则，盛德有容。声以依咏，舞以象功。干戚发挥，节以笙镛。羽籥云会，翊宣令踪。敷美尽善，允协时邕。焕炳其章，光乎万邦。万邦洋洋，承我晋道。配天作享，元命有造。上化如风，民应如草。穆穆斌斌，形于缀兆。文武旁作，庆流四表。无竞维烈，永世是绍①。
