大道曲（魏晋·谢尚）　　押东韵	青阳二三月，柳青桃复红。车马不相识，音落黄埃中①。
赠王彪之诗（魏晋·谢尚）　　押歌韵	长杨荫清沼，游鱼戏绿波①。
筝歌（魏晋·谢尚）　　押陌韵	秋风意殊迫①。
