癸未仲春自京回乡（二首选一）（当代·李梦唐）　　七言绝句　押麻韵	十年孤旅偶还家，童子窥帘母递茶。却睹棠红心自怃，事亲不及一庭花。
岭南客居（当代·李梦唐）　　七言绝句　押歌韵	案头终日苦消磨，窗外瀛洲碧水过。二载群鸥犹畏我，始知辜负钓丝多。
春日遣怀（当代·李梦唐）　　七言绝句　押豪韵	春气逼人不可消，木棉花下读离骚。客怀不定莺声里，更逐天边起落涛。
腊月见桃花开于澳门富豪家（当代·李梦唐）　　七言绝句　押麻韵	逆令开来悚物华，冲寒小蕊似梅花。东君也趁时人眼，解卖风情富贵家。
葡京妓（当代·李梦唐）　　七言绝句　押真韵	才洗缁衣北地尘，未通南语粉先匀。本为脱贫多辗转，缠头偏遇故乡人。
辛已岁末滞身港澳不得归乡（当代·李梦唐）　　七言绝句	家在燕南客岭南，八千里路计归难。坊间惊见桃符色，辜负亲恩又一年。
为人写别意（当代·李梦唐）　　七言绝句	笛里落花一梦寒，别愁苦绪为谁添。凤凰泣碎昆山玉，转向蓝田已不堪。
岭南道中（当代·李梦唐）　　七言绝句　押萧韵	轻烟起处雨如毛，红罢木棉绿芭蕉。二月田间无白鹭，八哥飞上水牛腰。
水乡怀旧（当代·李梦唐）　　七言绝句　押歌韵	牛系垂柳蛙在荷，草圈为帽唱儿歌。一舟来自夕阳外，荡起浪花惊起鹅。
迎春花（当代·李梦唐）　　七言绝句	傍篱开处最堪怜，推却胭脂推却簪。一种缠绵千万转，为他立尽夕阳天。
再登君山（当代·李梦唐）　　七言绝句	登楼一赋转千年，楚水风流太古天。有客重来心欲老，已无佳句赠君山。
诸暨怀西施（二首选一）（当代·李梦唐）　　七言绝句　押真韵	吴王国破风流在，范蠡谋深误美人。西子情怀何所似，半湖秋水半湖春。
咏鹤二首（当代·李梦唐）　　七言绝句　押侵韵	一别孤山处士琴，风前月下费长吟。前溪鸥鹭如相问，一片闲云欲雨心。
游大溪慈湖，见蒋氏塑像麋集山下，计有数十尊之多，归而有作（当代·李梦唐）　　七言绝句　押删韵	骨相犹龙老似仙，掌中书剑已斑斑。廿年化得身千万，占尽楼台又占山。
过台北“忠烈祠”（当代·李梦唐）　　七言绝句　押歌韵	殿宇森严偶一过，森然牌位记干戈。偏安不废凌烟阁，更把英雄画几多。
咏风筝（当代·李梦唐）　　七言绝句　押先韵	叠纸候风更倚栏，几回魂梦付飞鸢。牵丝信有丹青手，好放梅花在九天。
有网友名青藤葫芦者其人诙谐喜谈禅以诗调之（当代·李梦唐）　　七言绝句　押东韵	细牵飞蔓粗缠藤，点染青皮随意风。大道说来句句小，文章都在两圆中。
赠碰壁斋主（当代·李梦唐）　　七言绝句　押东韵	壁下题诗恨不工，陈蕃榻上有清风。南塘我欲随君去，一笑荷花彻底红。
赠贺兰雪（当代·李梦唐）　　七言绝句　押麻韵	尊前细写浣溪沙，谢氏风怀月半斜。别有奇情销不得，乌衣巷里唱胡笳。
赠梅君（当代·李梦唐）　　七言绝句	梅萼生时酒未倾，低眉向盏看浮萍。满庭明月共谁语，听裂冰弦第一声。
