自感诗三首（隋·侯夫人）　　押歌韵	庭绝玉辇迹，芳草渐成窠。隐隐闻箫鼓，君恩何处多①。
妆成诗（隋·侯夫人）	妆成多自惜，梦好却成悲。不及杨花意，春来到处飞①。
自遣诗（隋·侯夫人）	秘洞扃仙卉，雕房销玉人。毛君真可戮，不肯写昭君①。
春日看梅诗二首（隋·侯夫人）　　押真韵	砌雪无消日。卷帘时自颦。庭梅对我有怜意。先露枝头一点春①。
