春日郊行书与邓善之别五首（元·刘濩）　　五言绝句　押觉韵	在山水非清，出山水非浊。泉源但无壅，沧海端可学。
寄尤端木编修（元·刘濩）　　五言排律　押元韵	申浦昔弛檐，梁溪初及门。舣舟投漫刺，开阖倒清樽。似喜衣冠旧，居忘齿德尊。语长灯屡涸，坐久席弥温。道隐虽千载，人生故一源。谈经须駮异，订史欲芟烦。昔自三归僭，终令六籍燔。王民无冻馁，霸法有钳髡。功利开邪径，玄空植祸根。柙尝出虎兕，家岂足鸡豚。诸老相传学，先师罔极恩。石移针就直，胶掷水袪浑。舜泽觇莘聘，周文卜鲁膰。虽无煎凤觜，必有嗜熊蹯。俗士闻应笑，吾侪契此言。榻分踰夜午，棹返及朝暾。泛梗无留迹，瞻云每断魂。于公评出处，与众异昭昏。艺自登黄最，名因泛绿掀。婉谋裨宥府，蔚望列词垣。振鹭依风远，惊鳌掣海翻。梦槐啼失国，隐菊步归园。锦里时过杜，香山不隔樊。老来谙稼穑，醉里撷兰荪。向赌陶公集，曾因季子孙。千诗逃冶丽，群笔肆奫沄。息所谐歌咏①，贤祠正讨论。羌羊艰食性，海燕邈巢痕②。令子菑畬富，名家矩彟存。雪融金就砺，冰绪茧抽盆。眼底皆真乐，胸中有混元。狙从冢宰服，鹤听大夫轩。岁月书林暇，尘埃旅屩奔。卑卑营市隐，汲汲备朝飧。未省九丘读，何当三画吞。疏踪危似栈，苦思涸于眢。世讵求三箧，吾宁属两鞬。媚终辞卫灶，乞肯近齐墦。古意綦寥落，时材别选抡。罕逢知鹄爵，多遇笑龙蚖。拟筑犁锄舍，相依水竹村。古泉潴寺冷，春茗茁山暄。歌远牛俱跨，谈深虱对扪。洁应餐沆瀣，高足倚昆崙。有客闽中李，其人太学蕃。冷官今屑往，丽赋昔孤鶱。过泗需先见，瞻淇寄弗谖。为多驹皎皎，仍感兔爰爰。丹蟹滨湖贱，琼鱼集市喧。持杯应愈健，许事付乾坤。
赠臧鲁山廉访（元·刘濩）　　五言排律　押东韵	肃政光华远，清台启拟公。节移梅岭北，轺发桂江东。楮帐筛寒月，椰杯鼓朔风。瘦童空挟杖，贫病不装狨。徼俗三年问，威名百郡雄。星芒垂浒洛，雪色照宾融。敷教有虞庙，讲经夫子宫。端严锄犷戾，易直牖倥侗。吏滑加笞竹，官贪解印铜。冤销千褐父，恩洽万黄童。花缦戏冬暖，瓠笙吹岁丰。仁频苞嫩绿，古辣酿轻红。象迹烟中堞，鲸波雨外篷。夷珠人有斛，粤布我无筒。剖决心如水，驱驰鬓已蓬。六条方奏最，四牡欲歌功。为有澄清志，迟输献纳忠。织云添衣绣，鞭霆亦乘骢。楚尾吴头会，三湘七泽通。天文恢翼轸，地盖接潭洪。牙纛联分政，旌旗列总戎。鹜争肥似雁，罴搏猛于熊。怀璧枉无罪，见金忘有躬。化源安溷溷，狱市积匆匆。大器能绳物，先声已击蒙。道傍豺果避，窟底兔几空。勿珥终凶笔，毋关报怨弓。左饘并右粥，后稑更先穜。采菊赋归老，爱莲无极翁。理明轻势利，语妙入盲聋。文祖欧阳古，诗宗鲁直工。挽回铅椠习，超出簿书丛。顾眄山须动，揄扬石可砻。羽仪倾振鹭，啄抱遍哀鸿。念昔初腾踏，时方息战攻。考工崖黯黯，试累海昽昽。赤芾彼三百，素丝兹五总。稳行卑剑阁，善纳小云梦。甲子从头数，冠绅进秩穹。阶兰香浣露，田玉气嘘虹。世或探斯鷇，吾宁牿尔犝。察鱼应小慧，听蚁岂真聪。静躁聆徽外，刚柔省彀中。江湖归独步，宇宙涉丹衷。德骥曾思附，仙舟偶未同。耐寒衣故白，好古佩仍葱。梦枕频鲜荔，羁帆几落枫。泥涂龟各曳，霄汉凤稀冲。励操期霜柏，吞声等爨桐。渐忘身显晦，得究学初终。韩子哦双鸟，庄生感二虫。乐莘晞衎衎，忧杞笑忡忡。选举翳唐盛，方闻及汉崇。贡琛凌渤澥，怀组际穹窿。谷欠防饥敛，盐因析利笼。骇民牛觳觫，虚士鹤氋氃。黼黻需耆俊，饔飧给老癃。会看杨绾贵，不计孟郊穷。温井觇阳长，明奎卜道隆。斲辞规爱助，华发尚狂侗。
送郑南仲赴昌化主簿（元·刘濩）　　押个韵	熙宁言利臣，官好面堪唾。伟矣郑介公，直声千古播。几叶有此孙，能倡众莫和。湖学四五年，毡寒不禁坐。况投万山中，瘦马仍县佐。试讶鸾栖林，何如蚁旋磨。传闻邑父老，置酒预相贺。此士多读书，爱人不可货。今年秋风高，勿畏茅屋破。但虑执法家，需君惊贪惰。白云缭山腰，窗竹累千个。坐念老广文，德尊犹坎轲。县庭一分宽，百里减寒饿。苟无泽物心，卿相徒尔大。版牍焉足稽，弦歌故非过。起瞻东壁明，讵患南箕簸。时访隐者庐，谈馀曲肱卧。公田定几何？适半种粳糯。
送吴子敬赴钓台书院山长（元·刘濩）	我航浙西三四五，每过双台泪如雨。三公不作归钓矶，时人血面争丝缕。危石栖云禽野语，苍林古瓦瞻祠宇。同舟名利急须臾，我往拜之刚不与。箨兮箨兮风吹汝，天星易摇足勿举。千载羊裘有敝时，人言黄犬皮当补。诸公奕奕谁宾主？名教有功联斝俎。惜不相逢建武功，短蓑独速渔樵侣。喜君沈敏资好古，初分讲席良得所。履声绝少况马嘶，早笋晚菘聊复煮。伐木丁丁听腰斧，水色山光更媚妩。当年饵下有残鳞，珍珠化作骊龙吐。百里时归彩衣舞，犹载行书压鸣橹。一勤赠子莫多言，买菜有讥君记取。
