题钱舜举硕鼠图（元·陈颢）　　五言绝句　押阳韵	苦尽谷才黄，将收欲上场。农夫未到口，田鼠已盈仓。
题王孤云渍墨角抵图（元·陈颢）　　五言绝句　押寘韵	鬼墨不胜奇，胸中生百戏。参差有鬼头，人鬼元无二。
题王朋梅金明池图并题卷（元·陈颢）　　七言绝句　押庚韵	画人胸次见忠贞，意气规模一味清。想象当时同乐日，披图似有旧欢声。
题太白醉归图（元·陈颢）　　七言绝句　押虞韵	偶向长安醉市沽，春风十里倩人扶。金銮殿上文章客，不减高阳旧酒徒。
题黄庭坚松风阁诗卷（元·陈颢）　　七言绝句　押个韵	涪翁词翰气横秋，自古如君能几个。高阁一诗四远闻，知音自有松风和。
