句（元·韩奕）　　七言绝句	水国秋来少见晴，夕阳忽映小窗明。西风飒飒林间叶，乍听犹疑是雨声。
□□□（元·韩奕）　　押漾韵	落花数点悬蛛网，风蹙文如浪。看来也似惜春光，留住残红不肯放。柳烟槐雨连门巷，要做绿阴模样。绿阴终不似花时，这夏景曲儿休唱。
卜算子 九日（元·韩奕）	白发对黄花，又一番重九。相会年年少旧人，独酌杯中酒。世短意恒多，此语君知否。莫问明年健似今，且折茱萸寿。
卜算子 雨中（元·韩奕）	急霰打窗纱，正是愁时候。无柰愁多着酒消，反被愁消酒。又灭又明灯，还短还长漏。为问梅花有甚愁，也似愁人瘦。
女冠子 元夕（元·韩奕）	又元宵近。冷风寒雨成阵。春泥巷陌，悄无车马，数碗残灯，依稀相映。夜深光已暝。是处败垣颓砌，荧荧青磷。但隆隆鼓，珰珰漏，打破一城荒静。古来此地繁华盛。歌舞欢相竞。何事如今，恁地都无些剩。空传下几句，旧腔新令。故老风流尽。漫唱西楼月转，也无人听。自剔残红灺，半窗梅影，伴人愁鬓。
水龙吟 次韵题涌金飞雪画扇（元·韩奕）	苍寒收尽红尘，四山一色俄惊晓。楼台宫阙，冰壶影里，莹然清悄。独有游人，画船青盖，笙歌犹绕。遍园林松竹，光浑□□，人住处，皆蓬岛。罗扇画来轻小。乍时人、见多惊倒。谁留古本，到今付与，良工涂扫。夏日携时，且挥且玩，暑都消了。更词人亲笔题题，这风景，古犹少。
水龙吟 海蓱许氏舟名（元·韩奕）	软红尘里忙人，有谁能识沧洲趣。飘然一叶，也无根蒂，御风千里。禅客芦茎，仙翁莲瓣，笑他方外。任浮家不繁，行踪无定，算前身，岂飞絮。不着风花浪蕊，护篷窗、青帘休起。卧游容与，笔床茶灶，安如屋里。待约灵槎，银河秋夕，访牛寻女。且先载我月明中，洗脚唱歌归去。
四字令（元·韩奕）	荼蘼送香。枇杷映黄。园池偷换春光。正人间昼长。鸠鸣在桑。莺啼近窗。行人远去他乡。正离愁断肠。
生查子 夏日（元·韩奕）	虚牖落桐花，疏箔通荷气。独自绕闲庭，不住来还去。屦滑旧苔滋，衣润残香腻。没一个人来，细说心中事。
百字令 为沈画师题写山楼（元·韩奕）	软红尘里，爱君家、缥缈半空楼倚。曲槛外，江南江北，两岸好山无际。日涌浮金，烟凝积翠，朝夕映窗几。抛书卧看，丘壑在人胸次。兴来把笔临池，浓涂淡抹，咫尺论千里。内一段精神聚处，□甚诗人能拟。却笑米颠，结庵京□，也便写图夸美。生绡半幅，漫赋新词同寄。
百字令 次韵答毗陵蒋公冕见寄（元·韩奕）	问余何事，未中年、已觉心情欢少。对青镜、频伤往事，白发鬓边生早。水上题红，花间拾翠，到如今休了。年年春色，应笑闭门人老。故人咫尺，江云几回吟眺，目断扁舟小。荒后人家依旧好。空记梦中曾到。一曲高歌，知君别后，也恁多愁抱。甚时乘兴，山阴去访安道。
齐天乐（元·韩奕）	白头尚举齐眉案，相敬未忘宾礼。细数流年，平头六十，恰好一周甲子。吾生贫贱，汝不厌糟糠，不嫌褴缕。□喜而今，已将婚嫁了儿女。顾顾共伊老矣。又何须更问，有无家计。翠艾成人，红榴结子，隐映薰风庭宇。年年到此。愿身健心安，共倾香醑。好添几个，好孙儿戏舞。
花犯 题步障亭（元·韩奕）	海棠开，谁家亭馆，依然旧标致。彩云深处。有半湿青红，画阑雕砌。繁英密蕊重重树。望中迷数里。似蜀锦、张成步障，石家徒僭侈。夜深把银烛高烧，有时更折向、铜瓶斜贮。微风度，朱唇似，迎人笑语。□坡老、当年一见，何事在、天涯僧舍底。争似此、安排华屋，长相从富贵。
河传 送俞彦行（元·韩奕）	天际舟去水和烟。路遥遥知几千。广州又在海西边。堪怜。行人方少年。回首吴台连楚馆。云树远。眼与肠俱断。念归期。是何时。休迟。莺花容易稀。
柳梢青（元·韩奕）	过了清明。江□郭外，云淡烟轻。几家台沼，萍芜自绿、残柳还青。何人楼外吹笙。彷佛□、梨园旧声。唤起闲愁，暗思往事，老去忘情。
柳梢青 梁溪道中（元·韩奕）	柳暗花明。江村□路，微雨才晴。一个扁舟，尽容渔叟，到处闲情。往来凫渚鸥汀。新朋间、旧人争送迎。麦饭榆羹，故园寒食，误却归程。
点绛唇 初冬（元·韩奕）	午梦初回，半窗影转斜阳树。起看梅蕊。向暖曾开未。一霎清寒，卷地西风起。无人至。把门儿闭。自了闲文字。
贺新郎 送别（元·韩奕）	烟雨枫桥路。算年来、几番送别，故人千里。君亦当初缘底事，不念平生俦侣。容易把、幽欢间阻。岁晚却思来访旧，旧处亭馆，废垣荒圃。寒日照，残桑梓。同游似我今余几。且留连、小窗清夜，挑灯疑语。身外事多何必问，□□□□□□。况鬓影、相看如许。秋草萧萧连茂苑，正堪愁、杜牧诗中意。谁画在，行装里。
唐多令 湖中（元·韩奕）	买得个扁舟。乘闲到处游。载将图册与衾绸。不问人家僧舍里，堪住处，便夷犹。雨歇淡烟浮。黄鹂鸣麦秋。石湖西畔碧悠悠。倘遇桃花源里客，随着去，莫归休。
浪淘沙令（元·韩奕）	细雨折红榴。花满枝头。客边相对思悠悠。欲换金泥题帖子，无复风流。蓬鬓老堪羞。节去难留。一尊重午与谁酬。歌罢楚辞新月上，曲影如钩。
