寄申生（元·王娇红）　　五言绝句　押庚韵	云重月难见，风狂雨不成。尺书从寄意，倾泪若为情。
送别（元·王娇红）　　七言绝句　押微韵	绿叶阴浓花正稀，声声杜宇劝君归。相如千里悠悠去，不道文君泪湿衣。
永别（元·王娇红）　　七言绝句　押屑韵	合欢带上真珠结，个个团圆又无缺。当时把向掌中看，岂意今为千古别。
寄别申生二首（元·王娇红）　　七言绝句　押微韵	如此钟情古所稀，吁嗟好事到头非。汪汪两眼西风泪，独向阳台作雨飞。
