展子虔游春图卷（元·张圭）　　七言绝句　押真韵	东风一样翠红新，绿水青山又可人。料得春山更深处，仙源初不限红尘。
题王鹏梅金明池图（元·张圭）　　七言绝句　押尤韵	万棹齐奔竞出头，锦标夺得志应酬。吴侬识此争先著，一度赢来便可休。
题周曾秋塘图（元·张圭）　　七言绝句　押阳韵	荷枯苇折澹秋塘，岸侧芙蓉镜里妆。水宿云飞禽共乐，不须别处觅潇湘。
登茅山（元·张圭）　　押尤韵	久矣厌朝市，心栖岩壑幽。今朝复何朝，陟此苍峰秋。玉宇正寥廓，风籁寒飕飗。平生获壮观，万里供寸眸。烟岚缥缈中，青原间桑畴。琳宫一何丽，突出寒岩陬。茅君此仙去，遐想希前修。胡为尘玉踪，岁月徒悠悠。何当乘云虬，八表同周流。念念竟忘言，凝神入冥搜。彷佛鸾鹤音，还来故山游。
喜客泉（元·张圭）　　押支韵	昔闻喜客泉，今来欣见之。俯槛一凝盼，珠玑拂清池。山灵蕴神秀，出此天下奇。嗟余时所忌，而泉喜何为。丹忱天自知，愿兹谅弗疑。
晋桧（元·张圭）　　押支韵	晋代王气终，劫灰今几时。独馀此苍桧，郁郁贞秀姿。深根盘厚地，云汉参高枝。风霜固久历，雨露无偏滋。一笑媚时荣，朝盛夕已衰。
