问梅阁（元末明初·申屠衡）　　五言绝句	石阑护苔枝，相对黄昏月。问答本无言，翠禽强饶舌。
指柏轩（元末明初·申屠衡）　　五言绝句　押麌韵	冰霜二百年，老骨耐撑拄。欲知僧腊高，即是阶前树。
竹谷（元末明初·申屠衡）　　五言绝句　押质韵	阴森生昼寒，仰不睹天日。时从绿云中，窥见一星出。
绝句（元末明初·申屠衡）　　七言绝句　押微韵	青锁春閒漏点迟，博山香煖翠烟微。隔帘谁撼金铃响，知是花间燕子归。
周玄初祈晴诗（元末明初·申屠衡）	寥阳之阙天皇居，百灵拱卫群真趋。羽人神游尻为舆，招摇御气凌空虚。九关洞启光县珠，绿章封奏人间书。吴田潦淫三月余，吴淞决防连具区。春苗荡溺无遗株，吴民业业忧为鱼。上天好生哀冥愚，羽人稽首帝曰俞。廓除霾曀开天衢，蛟龙伏藏黑蜧诛。有秋芃芃还土腴，人无菜色国有储。羽人有道神明俱，手持玄纲旋斗枢。紫云为舄丹霞裾，蓬莱清都随所如。琳宫载敞虞山隅，为予分驻飙轮车。
卧云室（师子林十二咏）（元末明初·申屠衡）　　押队韵	童子爱白云，闭置密室内。不如放令出，去住得自在。
