题汪水云湖山类稿（元·李珏）　　五言绝句　押删韵	天地事如许，英雄鬓已斑。泪添东海水，愁压北邙山。
题郭主簿模摩诘本辋川图卷（元·李珏）　　七言绝句　押先韵	园图亲画早流传，已是人间五百年。凝碧池头秋句在，当时几负此林泉。
句（元·李珏）　　押先韵	此水自当兵十万，昔人曾有客三千。
