醉石（元·龙仁夫）　　七言绝句　押阳韵	净社归来倒石床，醒余肝胆卧松篁。行人只赏陶公醉，谁识悲凉述酒章？
题琵琶亭（元·龙仁夫）　　七言绝句　押先韵	老大蛾眉负所天，尚留馀韵入哀弦。江心正好看明月，却抱琵琶过别船。
即席作（元·龙仁夫）　　七言绝句　押微韵	菡萏池边风满衣，木樨亭下雨霏霏。老夫记得坡仙语，病体难禁玉带围。
