题陈惟允荆溪图（元·张田）　　七言绝句　押庚韵	人家绿树绕孤城，溪上风波落日明。三害祠存人已去，只今豺虎却纵横。
送郑同夫归豫章分题诗 分题沧浪池（元·张田）　　五言排律　押尤韵	沧浪池上水，无日不东流。披竹寻幽径，携壶趁小舟。杂花分两岸，丛树掩双丘。旭日金波乱，微风碧雾收。登临增慷慨，笑语漫夷犹。野老闲相过，渔人自对讴。芙蓉晴彩落，菡萏晚香浮。乐事连长句，忘机狎众鸥。时逢采芹士，为说故园秋。翠影侵棋局，晴光漾酒瓯。醉深偏缱绻，义合愈绸缪。席故儒官冷，堂升弟子优。年华欺短发，霜落暗征裘。画鹢行将去，骊驹唱未休。柳疏萦马首，帆饱出江头。别思随烟浪，悬怀倚柁楼。山昏云尽宿，林暮鸟相投。今夜中吴月，分光照薄愁。
和西湖竹枝词（元·张田）　　押尤韵	潮去潮来春复秋，钱塘江水通湖①头。愿郎也似江潮水，暮去朝来不断流。
