思母（元·与恭）　　七言绝句　押微韵	霜陨芦花泪湿衣，白头无复倚柴扉。去年五月黄梅雨，曾典袈裟籴米归。
冷泉亭（元·与恭）　　七言绝句　押灰韵	天竺雨花飞宝台，北山门对冷泉开。石擎老树无人识，时有黄猿抱子来。
回雁峰（元·与恭）　　七言绝句　押微韵	官路迢迢野店稀，薄寒催客早添衣。南分五岭云天远，雁到衡阳亦倦飞。
