过程学士墓（明·孙友篪）　　七言绝句　押阳韵	野水空山拜墓堂，松风湿翠洒衣裳。行人欲问前朝事，翁仲无言对夕阳。
避喧（明·孙友篪）　　押删韵	喧避苦城市，习静爱溪山。行看水流去，坐期云飞还。援琴发真趣，采药延颓颜。终岁无车马，孤吟常闭关。
逢乡人（明·孙友篪）　　押遇韵	尔从山中来，今喜江上遇。我家老梅花，开到第几树？
