题画（明·钱子义）　　七言绝句　押支韵	夕阳淡淡柳丝丝，远浦长天欲暝时。肠断楚山春雨后，鹧鸪啼向女郎祠。
厓山（明·钱子义）　　七言绝句　押微韵	萧萧西日惨无辉，寂历空山海四围。莫向洪波怨亡国，也胜行酒着青衣。
春暮（明·钱子义）　　押东韵	几声鹈阳中，万紫千红过眼空。吹得花开又吹落，最无情意是春风。
