和吴雪窗钟凤山看花（明·吴继澄）　　七言绝句　押寒韵	娇姝拟向玉栏杆，零落春深杏雨残。闻道梅花开岁晚，凌霜凌雪不知寒①。
游大帽山（明·吴继澄）　　七言绝句　押微韵	兴逐山颠一振衣，山云长旁海云飞。天南云物无穷趣，都被游人眼带归。
擒张琏回过车槃驿（明·吴继澄）　　七言绝句　押删韵	拟除凶丑挂征鞍，此日长缨弃等閒。何事苍冥相戏剧，令人羞向望夫山①。
