绝句（元末明初·邓羽）　　七言绝句　押麻韵	人生天地长如客，何独乡关定是家。争似山翁随所寓，年年处处看梅花①。
畅情（元末明初·邓羽）	花无长在树，人无长在世。有花须当赏，有酒须当醉。秋霜上鬓来，春风吹不去。
句（元末明初·邓羽）　　押删韵	忘情消白日，高卧看青山。
