九日独酌（明·刘效祖）　　七言绝句　押灰韵	南山遥对菊花开，欲采无人为举杯。纵说柴桑贫谢客，何曾不许白衣来。
折杨柳（明·刘效祖）　　七言绝句　押支韵	杨柳千条拂地垂，春风送客妾心悲。谁家年少轻离别，偏把愁声笛里吹。
燕京歌（明·刘效祖）　　七言绝句　押阳韵	元会初分庭燎光，君王亲御紫霞觞。不知五夜春多少，白日犹闻蜡炬香。
塞上曲二首（明·刘效祖）　　七言绝句　押尤韵	龙沙近接古檀州，多少从军倚戍楼。寒夜不堪愁绝处，西山片月挂城头。
