长沙三绝句三首（明·林公庆）　　七言绝句　押文韵	定王台上关中土，西望长安多白云。贾谊才高空有赋，河间博雅更无闻。
赋得明月楼赠孙伯融（明·林公庆）	两溪合流涵太虚，白龙簸弄摩尼珠。玉娥捧盘不敢去，孚尹散入仙人居。仙人乘云游汗漫，琼箫寥寥度银汉。斟酌北斗依上台，玉宇珠宫露如霰。凤台神驭不可留，春风花开帝王州。夫容峰前旧时月，夜夜长照溪上楼。
挽杨廉夫先生（先生母梦吞月而生，号铁龙）（明·林公庆）	金蟾飞出顾兔腹，化作铁龙惊世俗。丹黄为鬣翠为鳞，日吐明珠千万斛。蒐幽抉怪探玄微，臭腐倏忽成神奇。舆台邹枚汗籍湜，并驱扬马争先驰。大廷先鸣夸颖出，蒹葭霜气横秋日。旄头不蚀奎壁辉，铁门跃治多奇质。海棠城东住十年，有宅一区名草玄。花时横笛吹紫玉，醉携红袖觥金莲。人言此翁多媚妩，谁识平生用心苦。铸人谀墓得黄金，不买昆丘一抔土。玉函碧薤生孚尹，白骨未必为黄尘。过者欲式铁厓坟，铁云之下瞻龙文。
