眺虚岩（明·峡山中仙）　　五言绝句　押陌韵	但闻笙鹤音，迥与尘凡隔。横玉弄寒云，万里天一碧①。
栎社（明·峡山中仙）	远自罗浮巅，弭棹返凝碧。有木卷且樛，高可百馀尺。托生名山阿，结根古磐石。岁寒积风烟，可屈不可易。垂垂广亩阴，匠石不察识。不为明堂用，遂免斧斤戚。抚尔兴长谣，托尔施枕席。处夫不才间，尔真吾友籍。
狮子石（明·峡山中仙）　　押阳韵	既不射为虎，又不叱为羊。遂化为狮子，据此山之阳。何不往兜率，一吼醒迷方。会挟广成辈，煮为五岳粮。
