秋（乙巳）（明·武氏（文太青妻））　　五言绝句　押真韵	秋意入梧新，独居怅远人。芳樽吾负汝，清昼坐伤神。
春睡图（丁未春）（明·武氏（文太青妻））　　五言绝句	烟轻红玉重，惊鸟别湖桥。徐起说清梦，如风啭绛桃。
初入南国（丙辰秋）（明·武氏（文太青妻））　　七言绝句　押庚韵	南州初入便神清，步步新秋送水声。金缕两行浓夹柳，滩云如染照山明。
晋台独夜（壬戌春）（明·武氏（文太青妻））　　七言绝句　押尤韵	晋台玉镜照春流，绿草朱鳞步步幽。百子帐头香自暖，银床归坐夜悬钩。
如梦令（戊申夏日）（明·武氏（文太青妻））	昼阁闲吟玉案，帘卷薰风满院。闷则向，花前独立，阑干倚遍。堪玩，堪玩，座里清阴一半。
四月维夏，居也。二章（癸卯）（明·武氏（文太青妻））　　押鱼韵	四月维夏，浚室闲居。户庭绿重，可以诗书。（一章）四月维夏，百卉俱开。清风直入，语鸟不猜。（二章）
夏之日，游也。二章（癸卯）（明·武氏（文太青妻））　　押纸韵	夏之日，美人倦起。小院闲窗，风摇帘子。（一章）夏之日，重槐轻柳。燕子唤人，园林宜酒。（二章）
赠外（壬寅）（明·武氏（文太青妻））　　押麻韵	林端绿雪，木际红霞。诗香思酒，笔藻梦花。
