禅窝（师子林十二咏）（明·陶琛）　　五言绝句	菁茅葺成宇，白云拥为户。是中有定僧，默坐自朝暮。
竹谷（明·陶琛）　　五言绝句　押东韵	绿雾湿蒙蒙，纷披路不通。秋声夜来起，无处着西风。
冰壶井（明·陶琛）　　五言绝句　押梗韵	玉泉百尺深，古甃涵光冷。何以鉴虚明，差差鹿卢影。
