采莲曲（明·梁佑逵）　　五言绝句　押阳韵	托根同佳藕，何须妒并妆。生憎子结后，强半是空房①。
感讽篇（明·梁佑逵）	予少颇晰美，苦为女郎齿。十五出从师，邂逅西邻女。相感上秦楼，当筵蒙锦被。春色腻如云，白縠笼烟紫。宝钏响锒铛，明珠挂当耳。空房挺华光，援琴横自起。怵惕且自陈，黄泉永相矢。岂曰匪思存，中怀良独尔。宋玉虽好色，言宁孤人子。
思归引（明·梁佑逵）　　押遇韵	杖剑万里游，崎岖窘高步。中怀多不平，于焉思返顾。献策会无成，不如守坟墓。折剑铸为镜，鉴予襟与素。引镜比张良，状貌同好妇。
送陈集生太史（明·梁佑逵）　　押有韵	孟秋凉气至，蟋蟀鸣虚牖。惊飙撼庭柯，落叶日以厚。居人若在行，况乃行当久。揽衣起徬徨，出门送我友。丈夫志四方，所惜非分手。勉旃赴前途，爱子琼与玖。勿以门第高，弃捐葵藿偶。勿以声名溢，而忘夙所负。富贵不足矜，所期在不朽。贱子不习谀，素心聊用剖。
木棉花歌（明·梁佑逵）	长虹漠漠澹黄昏，绛节云中拥万神。霞标初建城头上，甲光向日开金鳞。光摇夹岸迷颜色，大树将军谁者识。一望平原若火燎，疑是田单破燕日。
