桃（明·张新）　　七言绝句　押冬韵	绿浅红深醉眼浓，殢人何处不迷踪。飞时莫浪随流水，自有春涛可化龙。
杏花（明·张新）　　七言绝句　押灰韵	曲江池畔题诗处，燕子飞时花正开。报道状元归去也，马头春色日边来。
海棠（明·张新）　　七言绝句　押删韵	雨滋霞衬入朱颜，月下疑从姑射还。最是春工多巧思，著将色在浅深间。
山茶（明·张新）　　七言绝句　押寒韵	胭脂染就绛裙栏，琥珀妆成赤玉盘。似共东风解相识，一枝先已破春寒。
辛夷（明·张新）　　七言绝句　押麻韵	梦中曾见笔生花，锦字还将气象誇。谁信花中原有笔，毫端方欲吐春霞。
月季花（明·张新）　　七言绝句　押真韵	一番花信一番新，半属东风半属尘。惟有此花开不厌，一年长占四时春。
