湘妃怨（明·袁表）　　五言绝句　押寘韵	烟波杳何之，汀洲郁寒翠。一江春水生，是妾相思泪。
流河步月（明·袁表）　　五言绝句　押皓韵	明月照河洲，露气闻芳草。幽村二三家，农事春方好。
题渔梁客舍（明·袁表）　　七言绝句　押月韵	渔梁渡头新雨歇，大竿岭外飞云没。迟回不见故乡人，却见云间故乡月。
梅花落（明·袁表）　　押微韵	妆楼夕掩扉，独坐望春归。忽见梅花落，犹疑陇云飞。因风点瑶瑟，乱月影罗帏。欲折南枝寄，边庭驿使稀。
