题扇诗（明·田娟娟）　　七言绝句　押阳韵	烟中芍药朦胧睡，雨底梨花浅淡妆。小院黄昏人定后，隔墙遥辨麝兰香。
寄木元经（明·田娟娟）　　七言绝句　押尤韵	闻郎夜上木兰舟，不数归舟祇数愁。半幅御罗题锦字，隔墙裹赠玉搔头。
慰元经（明·田娟娟）　　七言绝句　押阳韵	碧玉杯中琥珀光，灯前把劝阮家郎。不须苦忆人间世，万树桃花即故乡。
病剧寄木生（明·田娟娟）　　七言绝句　押灰韵	楚天风雨绕阳台，百种名花次第开。谁遣一番寒食信，合欢廊下长莓苔。
