赋得姑苏台（明·瞿荣智）　　七言绝句　押纸韵	高台嵬嵬插天起，势压雄城三百里。云窗雾閤迷烽烟，日日吴王醉西子。
赋得姑苏台 其二（明·瞿荣智）	桂膏兰烬烧春云，锦丝瑶管空中闻。甲兵重来破歌舞，粲齿修眉散如雨。
白云海（范阳卢熊公武篆颜） 其一（明·瞿荣智）	白云深，白云深，白云深护山之心。有时随龙去东海，倏焉永宇团秋阴。英英不来入我牖，直上璇霄掩箕斗。或贯日色流玉虹，或漏雷声堕天狗。山人学禅草庵里，静看白云朝暮起。此心欲与云俱闲，又逐溪风过溪水。纷纷武士尚操戈，格斗东南未决何。安得此云化霖雨，洗兵甲，散为玉烛，四海皆阳和。云兮云兮如擘絮，奈尔东流复如注。山人秪在玉山中，长绕山人草庵住。
