汉宫曲（明·张楷）　　五言绝句　押尤韵	日暮上帘钩，春花压翠楼。忽闻宣召急，罗帕掩箜篌。
金陵怀古（明·张楷）　　五言绝句　押真韵	落日沧江雨，东风废苑春。莫言三国士，犹胜六朝臣。
古词（明·张楷）　　七言绝句　押寒韵	罗帕凝香湿未干，朱樱窗外雨生寒。灯花知是虚传喜，落尽青煤誓不看。
宫中词（明·张楷）　　七言绝句　押歌韵	宫中杨柳戏青娥，不见葳蕤舞凤过。怪底东风不相忌，隔墙吹送落花多。
江南春（明·张楷）　　七言绝句　押东韵	满川啼鸟怨残红，水郭春园柳絮风。春雨一番江水阔，草痕将绿到吴中。
采莲曲（明·张楷）	青绫裙子试新裁，水面风吹拂拂开。舟小身轻波复静，荷花荡里去还来。
田园乐四首（明·张楷）　　押麻韵	绿杨树头山近，碧草门前径斜。闭户不干俗虑，杖藜时到邻家。
