次韵边太常（明·都穆）　　七言绝句　押鱼韵	深居休叹食无鱼，诗思春来说有余。苦爱弄风池畔柳，纤条时拂手中书。
悼张灵（明·都穆）　　七言绝句　押先韵	写画哦诗意自便，科场休谓子无缘。高楼明月依然在，辽鹤归来定几年。
悼姚广（明·都穆）　　七言绝句　押先韵	菼屋高吟兴浩然，六书精究到旁偏。横门溪水流呜咽，不见当年问字船。
