题东坡化龙竹（明·惟则）　　七言绝句　押支韵	渭川千亩未为奇，独羡坡仙扫一枝。后夜风雷头角露，看他行雨过天池。
山居四景（明·惟则）　　七言绝句　押真韵	林轩飞翠隔黄尘，瑶草吹香别是春。一卷《楞伽》消白昼，从教啼鸟唤游人。
竹枝词（明·惟则）	烟消日出江水流，江风摇荡木兰舟。故园望断不得去，杨柳蒹葭又早秋。
