十六字令 怀远，代人作（明末清初·商景兰）	瓜。今岁须教早吐花。圆如月，郎马定归家。
菩萨蛮 忆外，代人作（明末清初·商景兰）	腊花香动烟中影。纱窗半掩罗帏冷。孤雁宿沙汀。寒砧梦里声。梦到相思地。难诉相思意。夜雨渡芭蕉。怀人正此宵。
忆秦娥 忆外，代人作（明末清初·商景兰）	寒夜冷。终日离愁如断梗。如断梗。日久春长，银瓶落井。落梧惊梦凭谁醒。窗前窗后花枝影。花枝影。玉漏催残，孤灯半隐。
如梦令 寓园有感（明末清初·商景兰）	此地春光如绣。画槛名花依旧。独立悄无言，梅比腰支还瘦。僝僽。僝僽。林外鸟声拖逗。
长相思 暮归（明末清初·商景兰）	过桥西。花满堤。步印香泥小径归。烟笼万户低。月初辉。星渐稀。光到窗前知未知。何处夜乌啼。
浪淘沙 秋兴（明末清初·商景兰）	窗外雨声催。烛尽香微。衾寒不耐五更鸡。无限相思魂梦里，带缓腰围。隙月到罗帏。孤雁南归。玉炉宝篆拂轻衣。花气参差帘影动，叶落梅肥。
长相思 赋惜花春起早（明末清初·商景兰）	月刚斜。日影些。一路香风绕碧纱。忙忙贴鬓花。冷莓■。遍地遮。满院春情委露华。枝头宿鸟喳。
捣练子 夜坐（明末清初·商景兰）	长相思，久离别。为谁憔悴凭谁说。卷帘贪看月明多，斜风恰打银釭灭。
春光好 代姊别妹（明末清初·商景兰）	枫树冷，菊花黄。伴行妆。画舫归途十里塘。为谁忙。烟水萍丝荇菜，沙汀鸂鶒鸳鸯。多少离情此际有，待佳章。
浣溪沙 送女归，代人作（明末清初·商景兰）	唱罢骊驹神暗伤。阑干小月印虚堂。花枝影度隔帘香。人去空留千里梦，寒深午夜怯银床。独留灯烬照荒凉。
眼儿媚 怀远，代人作（明末清初·商景兰）	将入黄昏枕倍寒。银汉指阑干。半轮淡月，一行鸣雁，云老霜残。凭著飘英风自扫，小院掩双镮。离情难锁，迢迢江水，何处关山。
忆秦娥 怀远，代人作（明末清初·商景兰）	云将暮。寒砧声送愁无数。愁无数。孤鸿只影，极天难诉。片帆不返金陵渡。相思难道相思路。相思路。千里风尘，一帘霜露。
如梦令 怀远，代人作（明末清初·商景兰）	寂寞寒深孤枕。风度罗帏梦醒。梦醒却无情，此际离愁漫整。夜冷。夜冷。花动闲窗月影。
忆秦娥 怀远，代人作（明末清初·商景兰）	清秋节。金风陡起悲离别。悲离别。长天月影，常圆常缺。空阶萧瑟声声叶。霜花点点肠千结。肠千结。云外翔鸿，梦中化蝶。
长相思 即事（明末清初·商景兰）	水绕溪。花满堤。鹦鹉声高烟柳迷。愁多恨鸟啼。香霏霏。泪凄凄。坐看西山虹影低。诗成雪乱飞。
长相思 即事（明末清初·商景兰）	花影圆。月正妍。隔林啼鸟夜声传。相看情倍牵。整翠钿。拂朱弦。熏尽罗帏未肯眠。庭前霜满天。
长相思 春景（明末清初·商景兰）	芳草齐。鹧鸪啼。满院花光傍竹篱。行行日已西。柳条长，宝马嘶。问尔王孙归未归。楼高望转迟。
捣练子 秋思（明末清初·商景兰）	风草草，露浓浓。筑起愁城几万重。黄叶满庭人未扫，一声哀雁五云中。
少年游 冬景（明末清初·商景兰）	梅头未绽，朔风如历，白雪暗飞香。轻寒到枕，愁肠顿起，小胆怯空房。满天云气，一炉烟烬，迢递此韶光。高唐路杳，楚台无梦，何处写鸳鸯。
上西楼 夜阑闻雨（明末清初·商景兰）	江城云暗星稀。鸟孤飞。帘外绿残红瘦、漏声催。正风雨。凄凉处。烛花微。警醒梦魂时节、捲罗帏。
