西泺渔樵（明·萧蕃）　　七言绝句　押歌韵	一湾碧水漾清波，野舍村居趣更多。烹鲤采薪随处乐，渔歌咏罢听樵歌。
西泺渔樵（明·萧蕃）　　七言绝句　押鱼韵	水国禾生秋雨余，家家生计在樵渔。短镰刈得乾芦荻，乞火船头煮白鱼①。
龙祠灵应（明·萧蕃）　　七言绝句　押东韵	斡旋造化妙神功，雨泽随祈即感通。默相丰年多稌黍，黎民报祠永无穷。
卫河秋涨（明·萧蕃）　　七言绝句　押尤韵	两岸垂杨一叶舟，弥漫秋水浪悠悠。艄人不用推移力，笑拽蒲帆得自由。
