送李节度赴镇（明·金宗直）　　七言绝句　押蒸韵	鳌背楼台一俯凭，海波万里碧千层。太平未试龙韬策，射雉还过竹院僧。
圣母祠祷雨（明·金宗直）　　七言绝句　押庚韵	前峰已失后峰青，屏翳撩人不解晴。谁画遨头一蓑笠，满村风雨看苗生。
华山畿（明·金宗直）　　七言绝句　押微韵	冢上青青连理枝，行人争唱《华山畿》。野棠花发当寒食，几度春魂化蝶飞。
答晋山相公（明·金宗直）　　七言绝句　押齐韵	村南村北祝豚蹄，榆柳阴阴鸟雀啼。身遇太平生事足，日斜扶醉断桥西。
会苏曲（明·金宗直）　　押屋韵	会苏曲，会苏曲，西风吹广庭，明月满华屋。王姬压坐理缫车，六部女儿多如簇。尔筐既盈我筐空，酾酒揶揄歌相逐。一妇叹，千室劝，坐令四方勤杼轴。
黄昌郎（明·金宗直）	若有人兮方离龆，身不三尺一何骁。平生汪锜我所师，为国雪耻心无憀。剑金单向颈股不栗，剑金单指心目不摇。嗟尔千乘如蓬蒿。
