禅窝（师子林十二咏）（明·谢徽）　　五言绝句　押侵韵	阴壑寒犹掞，空山响已沉。白云无路入，禅向定中深。
卧云室（明·谢徽）　　五言绝句　押齐韵	朝卧白云东，暮卧白云西。白云长共我，此地结幽栖。
云林竹（明·谢徽）　　五言绝句　押侵韵	风叶响秋林，烟梢带夕阴。美人离思远，湘水夜来深。
