挽昭齐表妹三首（明·周兰秀）　　七言绝句　押支韵	闲窗琼月照幽姿，芳雪飘零有所思。莫谓愁春春不觉，语愁今可共瑶期。
挽琼章表妹三首（明·周兰秀）　　七言绝句　押元韵	性带烟霞秀可餐，蕉窗煮梦静无喧。只今韵魄翛然去，何必双飞文采鸳。
浣溪沙（明·周兰秀）	雨过池塘万绿生，微风吹满绣帘轻。远山一角夕阳明。静里荷香来扇底，梦余蕉影倚窗横。关情何处玉箫声。
