相逢行（明·陆卿子）　　五言绝句　押遇韵	白马骄青云，金鞭拂红雾。相逢不问名，各自东西路。
万历宫词（明·陆卿子）　　七言绝句　押寒韵	高烧蜡炬吐青烟，妃子宫中夜宴阑。并坐圣容欢不足，罗衣却恐怯春寒。
塞下曲（明·陆卿子）　　七言绝句　押阳韵	青天如水月如霜，万里无云杀气凉。夜半征人齐堕泪，胡笳声短雁声长。
短歌行（明·陆卿子）	君不见春风枝上华灼灼，春风日日吹华落。人生且莫恋悲欢，朱颜却被悲欢烁。悲欢未尽年命尽，罢却悲欢两寂寞。惟馀夜月流清晖，华间叶底空扉扉。
忆秦（一作瞿寄安诗）娥 感旧（明·陆卿子）	砧声咽，梅花梦断纱窗月。纱窗月，半枝疏影，一帘凄切。心前旧愿难重说，花飞春老流莺绝。流莺绝，今宵试问，几人离别。
画堂春（明·陆卿子）	晴空烟袅柳丝微，乱红风定犹飞。杏花零落燕空归，门外鸦啼。慵病不禁宽带，讳愁无那尖眉。香消斜倚画屏时，此恨谁知。
