闻舟师相语（明末清初·高珩）　　五言绝句　押支韵	天风争顺逆，人事有参差。昨我停舟处，知君得意时①。
送阮亭东归时予亦有归志（明末清初·高珩）　　七言绝句　押支韵	青山约略有前期，犹听骊歌乱客思。少折都门东去柳，霜条留待我归时。
赠雪海（姓郝名浴）（明末清初·高珩）　　七言绝句　押微韵	西清重到侍垂衣，万死人从浿水归。正可极言天下事，莫言主圣谏书稀①。
归舟杂兴（明末清初·高珩）　　七言绝句　押东韵	逐岸移舟屡转篷，乘流自可任西东。人生末路住方稳，何用登舟祝顺风①。
河上（明末清初·高珩）　　押纸韵	流水向人间，向水人亦尔。客心何淡淡，清波正齿齿。人境两萧然，太清游无始。劳劳车马尘，谁是沧浪子①？
使君愁（明末清初·高珩）	巡鹾使者来何许，平干太守颜如土。敲扑卒吏血满堂，豸冠诟厉如虓虎。卒吏附耳守再拜，事上礼仪聊具备。使者一笑回春阳，还朝荐尔真循良①。
