登广武冈汉高数项羽处（明·顾大武）　　七言绝句　押阳韵	三尺寒流数仞冈，两雄曾此话兴亡。汉家事业由天幸，十罪空劳数项王。
渡江风波甚恶（明·顾大武）　　七言绝句　押灰韵	千丈寒涛天半开，片帆横影落江隈。浮生久已同蕉鹿，肯向阳侯一乞哀。
乙丑孟秋下旬四日杨中丞绝命诏狱是夜初昏时有气如白练起尾箕间扫紫微掩天枢五星时在燕邸目睹感赋二首（明·顾大武）　　七言绝句　押微韵	满地苌弘血染衣，补天功业竟安归。犹余万丈长虹气，此夕骖箕叩紫微。
漫歌（明·顾大武）	酒旗招摇西北指，北斗频倾渴不止。天上有酒饮不足，翻身直下解作人间顾仲子。酒中生，酒中死，糟丘酒池何龌龊，千钟百觚亦徒尔。堪笑刘伶六尺身，死便埋我须他人。此身血肉岂是我，乌鸢蝼蚁谁疏亲？四鳃鲈鱼千里莼，有此下酒物，刘季张良焉足论。左携孔北海，右揽李太白。余杭老姥寄信来，道我新封合欢伯。
