西湖采莲曲二首（明·朱阳仲）　　五言绝句　押麻韵	五月芙蓉浦，花开胜若耶。若将湖作镜，应照妾如花。
出塞曲（明·朱阳仲）　　七言绝句　押庚韵	雪尽洮河月满营，胡儿羌笛奏边声。春风不到单于塞，何事梅花夜夜生。
长干曲（明·朱阳仲）　　七言绝句　押真韵	美人家住汉水滨，夫婿从军久向秦。江口寄书无便使，客中多是洛阳人。
杨花篇（明·朱阳仲）	江南二三月，杨花竞芳华。寂寞长条攀折尽，绿丝飞来千片花。千片飞飞西复东，白雪晴云昼溟濛。风吹满空翳白日，散入千家池馆中。池馆楼台媚春昼，珠箔重重散花柳。白玉筵中拂画衣，琉璃杯里沽春酒。落日千家春酒阑，飞花拂拂玉阑干。高处余风常不定，低边日气转犹寒。秦女楼中妆镜寂，王孙道上相思忆。讵将春色报深闺，还惹游丝度南陌。南陌深闺两地情，惜此飘扬花性轻。焉知落地为香土，更怜入水作浮萍。香土浮萍那堪数，虚令春色年年度。今年已见柳花残，明年复见杨花吐。愁杀龙沙千万山，春来春去损朱颜。祇被杨花恼妾睡，不教清梦到燕关。
寒食行（明·朱阳仲）	谁家墓头作寒食，野棠离离间古柏。香毂辚辚拜扫归，日暮风吹纸钱白。纸钱不到黄泉路，岁岁化为坟上土。人生苦乐百年中，笑杀荒山石羊虎。西家女儿哭未休，城东又作踏青游。满地花枝斗芳草，还嫌落日催归早。待得明年寒食时，又来挂纸一沾衣。
双溪曲（明·朱阳仲）　　押萧韵	脉脉溪路遥，泛泛落花娇。人心不如水，相随下河桥。
杨柳枝辞（明·朱阳仲）　　押支韵	广陵杨花辞故枝，各自空条雨后垂。羌笛不知春自去，分明一曲月中吹。
长门怨（明·朱阳仲）	春尽长门凤辇稀，宫莺百啭绕蔷薇。落花千片如红雪，飞入昭阳作燕泥。
