杂咏（明·梁小玉）　　五言绝句　押真韵	松响翩清籁，泉声浣俗尘。白云堪赠客，明月解留人。
酿酒（明·梁小玉）　　七言绝句	曲部尚书谱不留，椒花细雨冽香流。酿王家法应如是，新拜云溪女醉侯。
驴（明·梁小玉）　　七言绝句　押歌韵	买得青驴捷似梭，松云萝月任婆娑。还嫌踏碎娇花影，款款扶缰倩墨娥。
落花（明·梁小玉）　　七言绝句　押鱼韵	朱颜倏忽泣枯鱼，点点辞条著翠裾。幼女不知花有恨，闲凭绣砌笑轩渠。
珠（明·梁小玉）　　七言绝句　押虞韵	宛转谁通九曲珠，最怜探海夜光枯。须知颗颗鲛人泪，能向龙颔取得无。
珀琥枕（明·梁小玉）　　七言绝句　押删韵	仙苓千载赤脂殷，雕琢移来湘簟间。从此不须沾小草，长陪清梦白云闲。
包头（明·梁小玉）　　七言绝句　押歌韵	轻霞薄雾小香罗，傍著蝉鬟香更多。最爱春山缥缈上，横妆一带浅青螺。
篆章（明·梁小玉）　　七言绝句　押尤韵	挥洒霞笺寄陇头，双钤题处紫云浮。儿家曾掌司花印，总领曾城十二楼。
酬诗以香（明·梁小玉）　　七言绝句　押先韵	好事无如贾浪仙，常将酒脯酾诗篇。儿持净戒无荤血，飨尔蘅芜一炷烟。
